2024-07-23 07:14:39 status half-configured libkeyutils1:amd64 1.6.3-2
2024-07-23 07:14:39 status installed libkeyutils1:amd64 1.6.3-2
2024-07-23 07:14:39 configure libpsl5:amd64 0.21.2-1 <none>
2024-07-23 07:14:39 status unpacked libpsl5:amd64 0.21.2-1
2024-07-23 07:14:39 status half-configured libpsl5:amd64 0.21.2-1
2024-07-23 07:14:39 status installed libpsl5:amd64 0.21.2-1
2024-07-23 07:14:39 configure libbrotli1:amd64 1.0.9-2+b6 <none>
2024-07-23 07:14:39 status unpacked libbrotli1:amd64 1.0.9-2+b6
2024-07-23 07:14:39 status half-configured libbrotli1:amd64 1.0.9-2+b6
2024-07-23 07:14:39 status installed libbrotli1:amd64 1.0.9-2+b6
2024-07-23 07:14:39 configure libssl3:amd64 3.0.13-1~deb12u1 <none>
2024-07-23 07:14:39 status unpacked libssl3:amd64 3.0.13-1~deb12u1
2024-07-23 07:14:39 status half-configured libssl3:amd64 3.0.13-1~deb12u1
2024-07-23 07:14:39 status installed libssl3:amd64 3.0.13-1~deb12u1
2024-07-23 07:14:39 configure libnghttp2-14:amd64 1.52.0-1+deb12u1 <none>
2024-07-23 07:14:39 status unpacked libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-07-23 07:14:39 status half-configured libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-07-23 07:14:39 status installed libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-07-23 07:14:39 configure libkrb5support0:amd64 1.20.1-2+deb12u2 <none>
2024-07-23 07:14:39 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:39 status half-configured libkrb5support0:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:39 status installed libkrb5support0:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:39 configure libsasl2-modules-db:amd64 2.1.28+dfsg-10 <none>
2024-07-23 07:14:39 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-07-23 07:14:39 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-07-23 07:14:39 status installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-07-23 07:14:39 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2024-07-23 07:14:39 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-07-23 07:14:39 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-07-23 07:14:39 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2024-07-23 07:14:39 configure libk5crypto3:amd64 1.20.1-2+deb12u2 <none>
2024-07-23 07:14:39 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:39 status half-configured libk5crypto3:amd64 1.20.1-2+deb12u2
2024-07-23 07:14:39 status installed libk5crypto3:amd64 1.20.1-2+deb12u2
